height,shift,merit,gaplen,difficulty,time_utc,adder,startprime
191439,25,30.675114,5970,21.867469,2015-08-29 14:55:47,14269455,3330610466738582777537178901380873883425678830159604671490606938534360402696450194447
200619,25,30.851892,5996,21.865482,2015-09-13 19:46:47,18622213,2536379625770442000593883025172965333581481783866839533402028315120252403664581043973
206389,25,30.190449,5880,21.550655,2015-09-23 11:02:13,30992483,3843701536600186093961095212069034135072636738390281391734744755918600268418513430627
211012,32,31.416434,6262,21.398559,2015-10-01 05:24:17,3003875455,366972150530934988976964202494858597526228325712599194709386260047604095274350331789439
216189,25,30.864266,6004,21.858790,2015-10-09 16:18:28,5505703,3040504127649026796792060145567124261056832759535031638700735375271229793075450872487
216396,25,30.724706,5974,21.431265,2015-10-10 02:54:29,11764229,2771007752349702058210170711121256074123855067601319955174338309369050263542341796357
217706,25,30.590980,5940,21.526476,2015-10-12 06:39:21,10851821,2133441323222142666280561721470813552541418144534166802876789852480782999383882175981
222464,512,30.342112,16148,21.570890,2015-10-19 23:56:02,7.871304875666194e+153,1350485967040414773266150609433708361400092082297794748646255533233342884813862288471676180419502583695714339083142805792899605037812550331382287449178072529963844714171194557678313600307938664390748208108718049634276233466506167891
222763,25,30.143456,5866,21.593436,2015-10-20 11:47:47,20211985,3272722607258927596181914469675112096854559113833320046925474166996316013408206219537
225439,25,30.253011,5890,21.723236,2015-10-24 21:42:12,17079461,3575894168606590051010756375691964018605001554840731609406970713227942925896320851109
226038,25,31.200238,6074,21.614701,2015-10-25 22:08:29,26506801,3528445588971680010071784410995520074640465207046987381141846712707004296245575710257
227000,512,31.022513,16512,21.637507,2015-10-27 12:38:58,4.9741989961649374e+153,1435428465236818747321459224821326825449550066881602857568018829175743056313384094612903222915819415579179429200344293708877241323996275230370445433699658682705809634137978666211020483011948810788297729239444721686047225651228069971
244579,512,30.909498,16436,21.945798,2015-11-25 20:03:47,2.1299774558059606e+153,859659279204422504580284604730297696558593374089748334769378726003281823744396888331552321321204841528322384584570366115658467982483228940082035285843190272221565787941089552650432914494820466794721092177675935458076657450424706511
253614,512,30.988496,16478,21.593834,2015-12-11 00:35:56,1.2133097996063934e+153,859467456036812208897614340994172999308722274564802771967714218142188685290198860641207198974645280640805966973990053452013940221940109958166135078455187994999060255514464580861171955799948204117692916554700324345076695590195179663
256463,512,30.135102,16036,21.756712,2015-12-15 17:22:11,3.90940218669179e+153,1270936766716610640946215253099945638588008149684718955602873445807565204131006315075239488075781469895466449124161893860055640328470821518529220113716216345550230497789822260808738982945046468173614741664180822899897041898007978671
262386,25,30.738685,5980,20.443360,2015-12-26 06:27:35,15613525,3083250937876137462110607571150646347557112598769274704700130525080858266379043618389
283160,25,30.428045,5910,20.775001,2016-01-31 13:45:20,32966647,2251434391128803704344583996303283802534027056596890714940698790338128817096303773687
289085,512,30.000840,15966,20.607129,2016-02-11 02:16:29,1.0892036979384364e+153,1333691598255416225580787876891594617272148591951030399207437764665747075751571424553406520444361335847146473101340615942651990895144299656267801755743562371493061594855453205182244693934779314823769267627409654141958040623016118157
